ean;sku;manufacturer;title;stock;price
4711081523017;PRIME B660-PLUS D4;Asus;Motherboard PRIME B660-PLUS D4 s1700 4DDR4 DP/HDMI M.2 ATX ;200;122.08
5397184505090;210-AZKS;DELL;MONITOR DELL LED 27" SE2722H;101;120.96
5397184505175;210-AZYX;DELL;MONITOR DELL LED 24" P2422H;101;170.24
5397184505236;210-AZYZ;DELL;MONITOR DELL LED 27" P2722H;101;192.64
5397184505250;210-AZZB;DELL;DELL 27 USB-C HUB MONITOR - P2722HE - 68.6CM (27);101;237.44
5397184656792;210-BDEH;DELL;MONITOR DELL LED 27” P2723DE;101;339.36
5397184657089;210-BGPJ;DELL;MONITOR DELL LED 24" E2424HS;101;132.16
5397184657102;210-BGQG;DELL;MONITOR DELL LED 27" E2724HS;101;145.6
5901165769151;634-BJZU;DELL;Dell Usługa serwisowa Replay Manager Base License,Customer Kit;101;1048.32
5397184775042;AC140401;DELL;Dell Modul pamieci SNS only - Dell Memory Upgrade - 16GB -;101;113.12
5901165760509;N3563_M2CVDT3910EMEA01_PRO;DELL;Dell Komputer Vost3910/i3-12100/8/256/UHD730/W11P/3P;101;489.44
5901165761520;N8010VN3510EMEA01_2201_PRO;DELL;Dell Notebook Vost3510/i5-1135G7/16/512/15/W11P/3P;101;689.92
5901165760554;N8802VN3510EMEA01_N1_PRO;DELL;Dell Notebook Vost3510/i3-1115G4/8/256/15/W11P/3P;101;538.72
790069454783;DGS-1520-52;D-Link;D-Link Przełącznik 48 ports GE + 2 10GE ports + 2 SFP+ Smar;101;913.92
4719331849849;B650 GAMING X AX;Gigabyte;Motherboard Gigabyte B650 GAMING X AX;129;201.6
4719331849832;Z790 D DDR4;Gigabyte;Motherboard Gigabyte Z790 D DDR4;148;184.8
195122021795;169L0AA#ABB;HP;HP Monitor E24mv G4 FHD Conferencing Monitor;101;236.32
193905208531;5TW10AA;HP;Stacja dokująca USB-C Dock G5 EURO 5TW10AA ;101;138.88
196786492525;6S6F3EA#AKD;HP;HP Notebook 255G9 R5-5625U 15 8GB 256 W11H 1YRCI;101;532
196786492518;6S6F4EA#AKD;HP;HP Notebook HP255 G9 R5-5625U 15.6FHD 8 512 W1164;101;539.84
196786516153;6S6K6EA#AKD;HP;HP Notebook HP250 G9 i5-1235U 15.6FHD 8 512 W1164;101;609.28
