ean;sku;manufacturer;title;stock;price
7040058031475;71355_369-L_HH;Helly Hansen workwear;Žieminė striukė HELLY HANSEN UC-ME Winter Jacket, geltona L;4;135.05
7040058031550;71355_369-XL_HH;Helly Hansen workwear;Žieminė striukė HELLY HANSEN UC-ME Winter Jacket, geltona XL;4;135.05
7040058031499;71355_369-M_HH;Helly Hansen workwear;Žieminė striukė HELLY HANSEN UC-ME Winter Jacket, geltona M;4;135.05
7040058031406;71355_369-2XL_HH;Helly Hansen workwear;Žieminė striukė HELLY HANSEN UC-ME Winter Jacket, geltona 2XL;4;135.05
0088381775700;DDF489Z_MAK;Makita;Akumuliatorinis suktuvas-gręžtuvas MAKITA DDF489Z;4;238.95
4058546375638;4933479769_MIL;Milwaukee;Led prožektorius MILWAUKEE L4 TMLED-301 1100lm;4;143.61
4058546290009;4932471372_MIL;Milwaukee Accessories;Geležtės MILWAUKEE M18 BLTRC, 2vnt.;4;113.8
045242567676;48899395_MIL;Milwaukee Accessories;Pakopinis grąžtas MILWAUKEE AlCrN 6-35mm;4;227.62
0088381889629;DDF485RT_MAK;Makita;Akumuliatorinis gręžtuvas MAKITA DDF485RT;4;273.09
4059952654898;06008D2000_bos;Bosch;Akumuliatorinis lapų pūstuvas BOSCH Biturbo GBL 18V-700 Solo;4;236.2
4059952654874;06008D1000_bos;Bosch;Krūmapjovė BOSCH Biturbo GFR 18V-23 Solo;4;351.41
4058546346959;4933478502_MIL;Milwaukee;Akumuliatorinis perforatorius MILWAUKEE M18 ONEFHX-0;4;519.36
0088381768603;GA5092X01+_MAK;Makita;Kampinis šlifuoklis MAKITA GA5092X01 su priedais;4;259.44
4007220071182;22000016_PFE;Pferd;Frezavimo plokštelių rinkinys PFERD EF-WSP-F Inox, 3vnt.;4;118.14
0088381775601;DHP489Z_MAK;Makita;Akumuliatorinis smūginis gręžtuvas MAKITA DHP489Z;4;250.32
3165140869126;0601069L00_bos;Bosch;Lazerio spindulio imtuvas/gaudyklė BOSCH LR45;4;299.88
0088381768351;GA5090X01+_MAK;Makita;Kampinis šlifuoklis MAKITA GA5090X01 su priedais;4;270.8
4059952569246;0615990M0P_bos;Bosch;Akumuliatorinių įrankių rinkinys BOSCH GSR+GBH;4;545.97
0088381780384;DJV185Z_MAK;Makita;Akumuliatorinis siaurapjūklis MAKITA DJV185Z;4;225.3
0088381779883;DHR183Z_MAK;Makita;Akumuliatorinis perforatorius MAKITA DHR183Z;4;270.8
4058546409081;4932480623_MIL;Milwaukee;Lentyna sandėliavimo sistemai MILWAUKEE Packout;4;244.51
